Cloudlet_ID	STATUS	DataCenter_ID	VM_ID	Time	Start_Time	Finish_Time
1295	SUCCESS	2	78	0.21	0.1	0.31
1402	SUCCESS	2	158	0.21	0.1	0.31
2432	SUCCESS	2	198	0.21	0.1	0.31
1838	SUCCESS	2	278	0.21	0.1	0.31
1302	SUCCESS	2	79	0.21	0.1	0.31
2383	SUCCESS	2	159	0.21	0.1	0.31
1839	SUCCESS	2	279	0.21	0.1	0.31
619	SUCCESS	2	200	0.32	0.1	0.42
2751	SUCCESS	2	280	0.32	0.1	0.42
1304	SUCCESS	2	81	0.32	0.1	0.42
1306	SUCCESS	2	82	0.32	0.1	0.42
1704	SUCCESS	2	203	0.32	0.1	0.42
2792	SUCCESS	2	4	0.32	0.1	0.42
1309	SUCCESS	2	84	0.32	0.1	0.42
2686	SUCCESS	2	244	0.32	0.1	0.42
1311	SUCCESS	2	85	0.32	0.1	0.42
61	SUCCESS	2	8	0.32	0.1	0.42
2878	SUCCESS	2	49	0.32	0.1	0.42
1109	SUCCESS	2	289	0.32	0.1	0.42
2879	SUCCESS	2	50	0.32	0.1	0.42
2931	SUCCESS	2	90	0.32	0.1	0.42
922	SUCCESS	2	250	0.32	0.1	0.42
65	SUCCESS	2	11	0.32	0.1	0.42
207	SUCCESS	2	91	0.32	0.1	0.42
2814	SUCCESS	2	12	0.32	0.1	0.42
1324	SUCCESS	2	92	0.32	0.1	0.42
1787	SUCCESS	2	252	0.32	0.1	0.42
2816	SUCCESS	2	14	0.32	0.1	0.42
283	SUCCESS	2	135	0.32	0.1	0.42
2411	SUCCESS	2	178	0.32	0.1	0.42
2722	SUCCESS	2	258	0.32	0.1	0.42
1193	SUCCESS	2	19	0.32	0.1	0.42
2900	SUCCESS	2	59	0.32	0.1	0.42
1334	SUCCESS	2	99	0.32	0.1	0.42
2271	SUCCESS	2	100	0.32	0.1	0.42
2902	SUCCESS	2	61	0.32	0.1	0.42
2274	SUCCESS	2	101	0.32	0.1	0.42
1386	SUCCESS	2	142	0.32	0.1	0.42
1341	SUCCESS	2	103	0.32	0.1	0.42
1266	SUCCESS	2	64	0.32	0.1	0.42
2341	SUCCESS	2	144	0.32	0.1	0.42
1939	SUCCESS	2	25	0.32	0.1	0.42
1267	SUCCESS	2	65	0.32	0.1	0.42
1390	SUCCESS	2	146	0.32	0.1	0.42
1747	SUCCESS	2	226	0.32	0.1	0.42
97	SUCCESS	2	27	0.32	0.1	0.42
2421	SUCCESS	2	187	0.32	0.1	0.42
1271	SUCCESS	2	69	0.32	0.1	0.42
2360	SUCCESS	2	149	0.32	0.1	0.42
104	SUCCESS	2	30	0.32	0.1	0.42
1273	SUCCESS	2	70	0.32	0.1	0.42
1274	SUCCESS	2	71	0.32	0.1	0.42
107	SUCCESS	2	32	0.32	0.1	0.42
1946	SUCCESS	2	32	0.32	0.1	0.42
1356	SUCCESS	2	112	0.32	0.1	0.42
2287	SUCCESS	2	112	0.32	0.1	0.42
311	SUCCESS	2	154	0.32	0.1	0.42
2845	SUCCESS	2	35	0.32	0.1	0.42
184	SUCCESS	2	75	0.32	0.1	0.42
242	SUCCESS	2	116	0.32	0.1	0.42
2297	SUCCESS	2	116	0.32	0.1	0.42
1221	SUCCESS	2	37	0.32	0.1	0.42
2748	SUCCESS	2	278	0.32	0.1	0.42
1224	SUCCESS	2	40	0.42	0.1	0.52
2434	SUCCESS	2	200	0.42	0.1	0.52
2783	SUCCESS	2	1	0.42	0.1	0.52
1972	SUCCESS	2	41	0.42	0.1	0.52
1842	SUCCESS	2	282	0.42	0.1	0.52
1873	SUCCESS	2	3	0.42	0.1	0.52
2924	SUCCESS	2	83	0.42	0.1	0.52
1875	SUCCESS	2	4	0.42	0.1	0.52
1709	SUCCESS	2	206	0.42	0.1	0.52
136	SUCCESS	2	47	0.42	0.1	0.52
1716	SUCCESS	2	208	0.42	0.1	0.52
